top - 13:27:37 up 13 days,  4:43,  3 users,  load average: 0.13, 0.08, 0.04
Tasks: 211 total,   3 running, 208 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.6%us,  0.7%sy,  0.0%ni, 98.7%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   7805796k total,  7752536k used,    53260k free,   172976k buffers
Swap: 23237980k total,     2332k used, 23235648k free,  6563380k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  672 root      20   0  631m 513m 4340 R   19  6.7   0:28.57 qemu-system-x86    
  794 root      20   0 19128 1276  876 R    2  0.0   0:00.03 top                
    1 root      20   0 19456 1772 1196 S    0  0.0   0:04.26 init               
    2 root      15  -5     0    0    0 S    0  0.0   0:00.00 kthreadd           
    3 root      RT  -5     0    0    0 S    0  0.0   0:00.18 migration/0        
    4 root      15  -5     0    0    0 S    0  0.0   0:00.42 ksoftirqd/0        
    5 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/0         
    6 root      RT  -5     0    0    0 S    0  0.0   0:00.05 migration/1        
    7 root      15  -5     0    0    0 S    0  0.0   0:03.22 ksoftirqd/1        
    8 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/1         
    9 root      RT  -5     0    0    0 S    0  0.0   0:00.04 migration/2        
   10 root      15  -5     0    0    0 S    0  0.0   0:01.11 ksoftirqd/2        
   11 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/2         
   12 root      RT  -5     0    0    0 S    0  0.0   0:00.03 migration/3        
   13 root      15  -5     0    0    0 S    0  0.0   0:02.48 ksoftirqd/3        
   14 root      RT  -5     0    0    0 S    0  0.0   0:00.00 watchdog/3         
   15 root      15  -5     0    0    0 S    0  0.0   0:00.05 events/0           
   16 root      15  -5     0    0    0 S    0  0.0   0:00.84 events/1           
   17 root      15  -5     0    0    0 S    0  0.0   0:00.32 events/2           
   18 root      15  -5     0    0    0 S    0  0.0   0:01.62 events/3           
   19 root      15  -5     0    0    0 S    0  0.0   0:00.00 cpuset             
   20 root      15  -5     0    0    0 S    0  0.0   0:00.00 khelper            
   21 root      15  -5     0    0    0 S    0  0.0   0:00.00 netns              
   22 root      15  -5     0    0    0 S    0  0.0   0:00.00 async/mgr          
   23 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/0      
   24 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/1      
   25 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/2      
   26 root      15  -5     0    0    0 S    0  0.0   0:00.00 kintegrityd/3      
   27 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/0          
   28 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/1          
   29 root      15  -5     0    0    0 S    0  0.0   0:00.00 kblockd/2          
   30 root      15  -5     0    0    0 S    0  0.0   0:00.63 kblockd/3          
   31 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpid             
   32 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpi_notify       
   33 root      15  -5     0    0    0 S    0  0.0   0:00.00 kacpi_hotplug      
